# Y/H   U/Ur   V/Ur
 0.10 -0.177  0.008
 0.15 -0.180  0.008
 0.20 -0.171  0.012
 0.30 -0.141  0.016
 0.40 -0.095  0.013
 0.50 -0.012  0.002
 0.60  0.093 -0.015
 0.70  0.226 -0.038
 0.80  0.341 -0.049
 0.90  0.461 -0.056
 1.00  0.599 -0.056
 1.10  0.707 -0.052
 1.15  0.740 -0.053
 1.20  0.774 -0.054
 1.30  0.811 -0.054
 1.40  0.838 -0.053
 1.50  0.863 -0.055
 1.70  0.902 -0.055
 2.00  0.948 -0.054
 2.40  0.992 -0.049
 2.80  1.006 -0.044
 3.20  1.001 -0.040
 3.60  1.000 -0.036
 4.00  0.999 -0.032
 5.00  0.995 -0.028
 6.00  0.990 -0.024
 7.50  0.992 -0.019
 8.20  0.914 -0.010
